,drugName,rating
20608,Paroxetine,8
20629,Pristiq,6
20640,Effexor,5
20644,Vortioxetine,1
20670,Vilazodone,8
20693,Paxil,3
20696,Celexa,9
20728,Viibryd,8
20777,Wellbutrin,10
20782,Duloxetine,9
20789,Celexa,9
20804,Sertraline,5
20816,Abilify,3
20820,Venlafaxine,8
20821,Wellbutrin,9
20845,Pristiq,1
20847,Desvenlafaxine,7
20860,Paxil,4
20873,Desvenlafaxine,9
20885,Celexa,5
20918,Quetiapine,9
20927,Vilazodone,10
20928,Cymbalta,1
20941,Vilazodone,1
21003,Duloxetine,9
21014,Effexor,1
21033,Venlafaxine,9
21055,Tramadol,10
21067,Amitriptyline / chlordiazepoxide,9
21095,Mirtazapine,10
21099,Citalopram,9
21100,Sertraline,7
21110,Escitalopram,8
21111,Venlafaxine,10
21133,Lexapro,5
21146,Desvenlafaxine,9
21158,Prozac,9
21169,Vilazodone,1
21177,Duloxetine,2
21197,Prozac,9
21207,Vortioxetine,6
21221,Bupropion,1
21235,Tranylcypromine,10
21242,Lamotrigine,10
21243,Fluoxetine / olanzapine,5
21247,Venlafaxine,9
21276,Sertraline,8
21285,Effexor,1
21307,Nefazodone,10
21336,Phenelzine,2
21357,Pristiq,8
21363,Mirtazapine,10
21375,Wellbutrin,10
21376,Escitalopram,8
21390,Trazodone,7
21392,Vilazodone,5
21416,Paroxetine,7
21435,Tramadol,10
21529,Effexor,2
21531,Desvenlafaxine,10
21578,Escitalopram,10
21615,Bupropion,8
21626,Venlafaxine,9
21692,Wellbutrin XL,10
21703,Duloxetine,3
21710,Effexor,8
21715,Celexa,10
21753,Effexor XR,8
21756,Abilify,2
21768,Wellbutrin,9
21775,Venlafaxine,10
21800,Seroquel XR,8
21809,Levomilnacipran,5
21837,Wellbutrin SR,4
21839,Abilify,8
21895,Effexor XR,10
21917,Sertraline,8
21924,Desvenlafaxine,10
21932,Zoloft,8
21964,Lexapro,10
21975,Vilazodone,2
21995,Venlafaxine,7
21996,Desvenlafaxine,9
21999,Desipramine,9
22010,Vortioxetine,2
22017,Armodafinil,10
22043,Venlafaxine,3
22069,Bupropion,2
22125,Viibryd,1
22144,Lexapro,10
22170,Zoloft,1
22180,Lexapro,8
22185,Escitalopram,10
22191,Zoloft,5
22206,Duloxetine,9
22235,Desipramine,10
22243,Levomilnacipran,7
22271,Wellbutrin XL,10
22276,Trazodone,10
22280,St. john's wort,7
22294,Effexor,2
22305,Mirtazapine,8
22344,Desvenlafaxine,8
22346,Viibryd,9
22367,Effexor,4
22380,Paxil,2
22397,Fluoxetine,10
22398,Vilazodone,3
22399,Desvenlafaxine,9
22406,Trazodone,10
22457,Cymbalta,5
22469,Sertraline,3
22471,Celexa,10
22489,Alprazolam,10
22495,Paxil,1
22505,Cymbalta,7
22525,Desvenlafaxine,9
22528,Venlafaxine,3
22548,Mirtazapine,9
22566,Prozac,10
22587,Alprazolam,7
22597,Escitalopram,9
22598,Pristiq,10
22602,Bupropion,9
22623,Quetiapine,5
22672,Provigil,7
22700,Viibryd,6
22709,Duloxetine,10
22759,Prozac,10
22815,Effexor,6
22847,Aripiprazole,10
22852,Fetzima,8
22853,Wellbutrin,6
22856,Celexa,10
22861,Fluoxetine,10
22869,Desvenlafaxine,10
22873,Bupropion,5
22883,Zoloft,1
22899,Pristiq,7
22907,Lexapro,9
22947,Paroxetine,8
22977,Zoloft,8
23006,Citalopram,9
23015,Sertraline,10
23025,Vortioxetine,5
23039,Escitalopram,5
23046,Vortioxetine,8
23061,Paxil,10
23072,Bupropion,5
23077,Effexor XR,3
23090,Paroxetine,8
23093,Viibryd,6
23102,Alprazolam,8
23105,Pristiq,5
23108,Pristiq,9
23129,Bupropion,10
23133,Cymbalta,10
23144,Sertraline,1
23149,Symbyax,9
23157,Sertraline,10
23161,Fetzima,1
23190,Pristiq,9
23199,Bupropion,4
23200,Celexa,5
23205,Alprazolam,10
23206,Lexapro,9
23279,Cymbalta,10
23296,Escitalopram,5
23298,Seroquel,10
23299,Escitalopram,10
23329,Paxil,6
23332,Duloxetine,7
23341,Trazodone,1
23342,Vilazodone,2
23354,Sertraline,6
23367,Paxil,3
23376,Zoloft,7
23396,Desvenlafaxine,1
23421,Quetiapine,10
23424,Vortioxetine,9
23440,Celexa,8
23454,Sertraline,1
23464,Venlafaxine,1
23474,Effexor,7
23489,Viibryd,6
23513,Seroquel,1
23514,Citalopram,9
23515,Vortioxetine,8
23574,Duloxetine,9
23612,Citalopram,8
23618,Bupropion,10
23621,Sertraline,3
23622,Sertraline,1
23627,Venlafaxine,1
23663,Vortioxetine,8
23685,Desvenlafaxine,2
23734,Deplin,7
23735,Pristiq,6
23738,Xanax,10
23756,Citalopram,7
23776,Cymbalta,7
23778,Sertraline,10
23797,Citalopram,8
23800,Venlafaxine,5
23804,Citalopram,1
23892,Desvenlafaxine,9
23947,Tranylcypromine,10
23967,Citalopram,10
23974,Bupropion,8
23980,Venlafaxine,1
23982,Trintellix,2
24003,Cymbalta,10
24012,Nortriptyline,3
24046,Escitalopram,10
24105,Venlafaxine,2
24117,Viibryd,10
24146,Prozac,5
24169,Sertraline,9
24193,Bupropion,10
24205,Wellbutrin,5
24217,Desvenlafaxine,9
24284,Sertraline,9
24287,Abilify,8
24289,Paxil,9
24290,Sertraline,7
24293,Zoloft,9
24303,Paxil,9
24315,Escitalopram,1
24334,Mirtazapine,7
24369,Paroxetine,9
24370,Escitalopram,9
24375,Cymbalta,9
24381,Sertraline,2
24399,Pristiq,10
24402,Pristiq,8
24417,Paroxetine,10
24444,Fluoxetine,3
24503,Pristiq,10
24523,Lexapro,8
24526,L-methylfolate,8
24546,Wellbutrin,9
24565,Desvenlafaxine,10
24568,Desvenlafaxine,5
24597,Escitalopram,10
24637,Venlafaxine,9
24642,Cymbalta,9
24661,Vortioxetine,1
24674,Mirtazapine,10
24681,Prozac,9
24686,Lexapro,10
24697,Desvenlafaxine,10
24714,Tramadol,9
24727,Prozac,10
24735,Sertraline,3
24761,Effexor XR,7
24778,Celexa,3
24795,Phenelzine,9
24798,Amitriptyline,9
24802,Cymbalta,8
24851,Pristiq,9
24854,Celexa,9
24855,Sertraline,5
24905,Pristiq,5
24972,Lexapro,1
25003,Zoloft,10
25010,Sertraline,8
25018,Zoloft,9
25054,Pristiq,9
25089,Prozac,2
25094,Xanax,10
25097,Vortioxetine,8
25111,Wellbutrin,8
25113,Sertraline,1
25158,Celexa,10
25160,Prozac,7
25162,Zoloft,10
25167,Sertraline,1
25172,Vilazodone,10
25248,Vilazodone,7
25253,Duloxetine,7
25285,Bupropion,1
25301,Pristiq,10
25306,Alprazolam,9
25327,Bupropion,8
25340,Vortioxetine,9
25359,Bupropion,10
25364,Desvenlafaxine,10
25369,Venlafaxine,7
25370,Doxepin,9
25401,Paxil,10
25412,Deplin,8
25413,Vortioxetine,8
25418,Pristiq,3
25448,Vilazodone,10
25475,Celexa,6
25478,Citalopram,2
25496,St. john's wort,9
25517,Venlafaxine,1
25520,Bupropion,3
25524,Sertraline,10
25525,Pristiq,7
25566,Celexa,6
25581,Fetzima,1
25596,Mirtazapine,10
25600,Trazodone,10
25615,Amitriptyline,10
25623,Vilazodone,10
25642,Duloxetine,10
25665,Desvenlafaxine,8
25669,Aripiprazole,1
25707,Desvenlafaxine,7
25717,Lexapro,10
25719,Venlafaxine,4
25752,Venlafaxine,1
25754,Cymbalta,4
25772,Pristiq,1
25820,Cymbalta,2
25821,Mirtazapine,8
25826,Effexor XR,10
25848,Abilify,9
25902,Viibryd,8
25916,Aripiprazole,9
25917,Escitalopram,3
25920,Duloxetine,1
25929,Duloxetine,10
25963,Sertraline,8
26004,Citalopram,8
26013,Wellbutrin,2
26019,Effexor XR,10
26028,Vilazodone,3
26040,Sertraline,9
26053,Lexapro,10
26093,Sertraline,10
26111,Sertraline,9
26112,Bupropion,7
26125,Duloxetine,10
26198,Abilify,1
26221,Escitalopram,9
26284,Bupropion,10
26287,Desvenlafaxine,9
26302,Fluoxetine,1
26313,Wellbutrin SR,8
26320,Citalopram,1
26327,Aripiprazole,1
26354,Vortioxetine,9
26365,Tryptophan,9
26420,Bupropion,4
26446,Trintellix,8
26462,Escitalopram,6
26466,Desvenlafaxine,9
26506,Escitalopram,8
26511,Fluoxetine,8
26532,Pristiq,3
26578,Lithium,9
26584,Desvenlafaxine,10
26617,Cymbalta,5
26654,Trintellix,8
26708,Effexor,2
26724,Cymbalta,10
26726,Tranylcypromine,10
26754,Aripiprazole,2
26758,Cymbalta,9
26762,Wellbutrin XL,8
26777,Emsam,1
26787,Bupropion,10
26797,Bupropion,5
26805,Vilazodone,10
26822,Vortioxetine,4
26826,Vortioxetine,9
26843,Fluoxetine,9
26852,Cymbalta,10
26867,Sertraline,9
26901,Parnate,10
26926,Celexa,10
26928,Sertraline,8
26929,Nefazodone,1
26944,Vortioxetine,5
26956,Paroxetine,10
26984,Abilify,8
26985,Aripiprazole,1
27039,Prozac,8
27040,Citalopram,1
27064,Bupropion,9
27074,Escitalopram,10
27080,Mirtazapine,8
27091,Norpramin,10
27150,Tranylcypromine,9
27161,Wellbutrin,8
27167,Trazodone,10
27206,Bupropion,9
27223,Celexa,1
27228,Duloxetine,10
27244,Fluoxetine,7
27247,Sertraline,9
27263,Wellbutrin,1
27280,Prozac,10
27291,Lithium,10
27380,Effexor,10
27396,Desvenlafaxine,10
27428,Cymbalta,8
27431,Fluoxetine,9
27432,Tranylcypromine,8
27447,Prozac,9
27515,Paxil,1
27559,Cymbalta,10
27564,Lexapro,9
27574,Escitalopram,8
27581,Escitalopram,9
27582,Viibryd,3
27592,Viibryd,7
27601,Wellbutrin,7
27611,Effexor XR,6
27626,Fluoxetine,7
27652,Wellbutrin,5
27653,Desvenlafaxine,2
27661,Paroxetine,1
27677,Viibryd,1
27697,Lamotrigine,9
27715,Effexor,1
27733,Mirtazapine,9
27771,Tofranil,10
27779,Fluoxetine,10
27799,Sertraline,9
27857,Zoloft,8
27867,Citalopram,7
27869,Pristiq,10
27891,Citalopram,10
27943,Vilazodone,10
27957,Viibryd,10
27975,Vortioxetine,2
28012,Bupropion,10
28099,Viibryd,8
28105,Citalopram,9
28124,Mirtazapine,10
28145,Viibryd,8
28181,Serzone,9
28188,Oleptro,10
28197,Vortioxetine,9
28212,Lexapro,9
28219,Wellbutrin,10
28246,Sertraline,10
28257,Sertraline,4
28280,Cymbalta,2
28320,Venlafaxine,8
28343,Desvenlafaxine,10
28361,Sertraline,9
28391,Cymbalta,9
28402,Venlafaxine,1
28433,Duloxetine,9
28440,Desvenlafaxine,9
28446,Citalopram,1
28464,Escitalopram,7
28537,Celexa,10
28543,Bupropion,4
28546,Cymbalta,2
28602,Pristiq,6
28636,Escitalopram,4
28653,Wellbutrin XL,9
28681,Xanax,10
28683,Bupropion,8
28684,Paroxetine,3
28703,Celexa,5
28714,Vilazodone,5
28729,Wellbutrin,10
28743,Parnate,9
28756,Venlafaxine,6
28785,Duloxetine,1
28791,Celexa,6
28793,Wellbutrin,9
28802,Fluoxetine,9
28851,Lamotrigine,5
28892,Prozac,7
28902,Vilazodone,6
28913,Duloxetine,4
28927,Vilazodone,1
28928,Abilify,1
28986,Effexor XR,10
29031,Wellbutrin,9
29086,Duloxetine,2
29113,Effexor,1
29120,Abilify,9
29124,Elavil,10
29131,Pristiq,5
29224,Paxil,9
29225,Aripiprazole,10
29234,Remeron,10
29256,Brexpiprazole,4
29324,Pristiq,8
29330,Viibryd,7
29331,Parnate,10
29370,Lexapro,9
29380,Fluoxetine,10
29382,Abilify,10
29427,Fluvoxamine,9
29468,Zoloft,7
29481,Pristiq,10
29502,Vortioxetine,10
29507,Amitriptyline,10
29530,Trintellix,3
29540,Bupropion,10
29576,Viibryd,10
29615,Fetzima,5
29637,Venlafaxine,9
29671,Citalopram,7
29679,Effexor,4
29684,Zoloft,10
29689,Wellbutrin,3
29715,Citalopram,10
29750,Zoloft,2
29776,Duloxetine,9
29778,Wellbutrin SR,8
29790,Wellbutrin,8
29819,Viibryd,10
29855,Sertraline,9
29859,Duloxetine,1
29877,Zoloft,9
29911,Escitalopram,10
29924,Viibryd,1
29958,Duloxetine,9
29973,Desvenlafaxine,1
29979,Lexapro,9
29984,Bupropion,9
29992,Paroxetine,8
30019,Bupropion,10
30021,Sertraline,7
30053,Sertraline,8
30078,Bupropion,1
30088,Phenelzine,8
30100,Effexor,1
30103,Bupropion,6
30128,Escitalopram,10
30200,Citalopram,10
30238,Escitalopram,8
30242,Vortioxetine,6
30245,Forfivo XL,10
30264,Pristiq,9
30267,Viibryd,8
30276,Escitalopram,9
30278,Nortriptyline,9
30282,Effexor,10
30313,Viibryd,8
30339,Wellbutrin,6
30354,Venlafaxine,10
30366,Paroxetine,9
30374,Citalopram,10
30377,Viibryd,9
30383,Wellbutrin,1
30400,Escitalopram,9
30421,Zyprexa,10
30426,Wellbutrin,10
30435,Sertraline,2
30442,Bupropion,2
30476,Vortioxetine,8
30484,Prozac,4
30515,Mirtazapine,8
30539,Fluoxetine,9
30546,Celexa,10
30565,Cymbalta,1
30577,Alprazolam,10
30613,Vortioxetine,7
30615,Aripiprazole,8
30632,Paxil,1
30655,Zoloft,1
30663,Desvenlafaxine,9
30673,Zoloft,3
30675,Prozac,9
30680,Vortioxetine,5
30686,Pristiq,1
30694,Paroxetine,9
30722,Zoloft,9
30724,Venlafaxine,9
30728,Sertraline,9
30745,Wellbutrin XL,9
30765,Effexor,7
30772,Bupropion,10
30775,Armodafinil,10
30777,Sertraline,1
30778,Wellbutrin,2
30802,Trazodone,10
30819,Vilazodone,8
30828,Venlafaxine,10
30849,Xanax,10
30867,Venlafaxine,7
30923,Effexor XR,10
30936,Escitalopram,1
30948,Paroxetine,1
30956,Alprazolam,10
30961,Venlafaxine,9
30965,Sertraline,8
30983,Viibryd,9
31034,Desvenlafaxine,1
31050,Abilify,9
31113,Lexapro,8
31133,Viibryd,3
31134,Zoloft,9
31172,Cymbalta,8
31175,Wellbutrin,9
31176,Citalopram,7
31179,Bupropion,8
31183,Atomoxetine,6
31197,Levomilnacipran,5
31215,Deplin,10
31255,Effexor XR,9
31297,Bupropion,9
31317,Bupropion,3
31338,Viibryd,8
31356,Zoloft,8
31363,Citalopram,10
31375,Effexor XR,7
31396,Lexapro,2
31430,Escitalopram,9
31474,Sertraline,10
31477,Viibryd,1
31483,Cymbalta,10
31488,Citalopram,7
31515,Tramadol,10
31556,Paxil,9
31559,Duloxetine,10
31564,Escitalopram,9
31593,Effexor,10
31602,Bupropion,10
31605,Citalopram,8
31621,Pristiq,9
31659,Citalopram,3
31690,Fetzima,8
31700,Venlafaxine,6
31711,Fluvoxamine,4
31723,Viibryd,5
31727,Effexor,7
31733,Nortriptyline,7
31740,Viibryd,9
31748,Zoloft,7
31753,Wellbutrin,9
31760,Sertraline,10
31783,Lexapro,10
31790,Desvenlafaxine,10
31828,Wellbutrin,6
31845,Lexapro,10
31847,Alprazolam,10
31854,Prozac,10
31874,Vilazodone,8
31886,Wellbutrin,9
31891,Vortioxetine,2
31925,Sertraline,9
31930,Duloxetine,8
31937,Mirtazapine,1
31940,Remeron,10
31953,Celexa,10
31965,Cymbalta,1
31984,Trintellix,7
32052,Bupropion,10
32140,Elavil,10
32154,Mirtazapine,9
32212,Sertraline,9
32213,Sertraline,1
32251,Viibryd,8
32253,Pristiq,10
32254,Wellbutrin,8
32258,Wellbutrin,9
32265,Pristiq,3
32305,Citalopram,7
32311,Pristiq,10
32318,Mirtazapine,10
32319,Tramadol,10
32322,Paxil,10
32345,Zoloft,1
32359,Tranylcypromine,9
32370,Viibryd,10
32373,Lexapro,10
32380,Escitalopram,10
32396,Fluoxetine,8
32404,Cymbalta,10
32427,Vilazodone,10
32440,Duloxetine,8
32446,Sertraline,7
32459,Venlafaxine,6
32466,Zoloft,10
32505,Venlafaxine,7
32511,Duloxetine,1
32516,Prozac,1
32541,Wellbutrin,9
32549,Vilazodone,7
32552,Duloxetine,8
32556,Duloxetine,9
32566,Aripiprazole,5
32577,Desvenlafaxine,6
32579,Mirtazapine,2
32581,Fetzima,1
32596,Effexor,10
32658,Citalopram,5
32664,Elavil,10
32677,Cymbalta,10
32683,Escitalopram,10
32714,Fluoxetine,10
32742,Pristiq,6
32760,Effexor,7
32781,Bupropion,10
32784,Effexor,5
32789,Duloxetine,7
32822,Effexor XR,8
32838,Citalopram,5
32841,Tranylcypromine,9
32899,Levomilnacipran,1
32930,Citalopram,6
32937,Cymbalta,9
32951,Nefazodone,10
33022,Lexapro,10
33074,Bupropion,8
33080,Paxil,1
33083,Fluoxetine,10
33093,Bupropion,2
33163,Pristiq,2
33182,Cymbalta,1
33203,Escitalopram,9
33212,Lexapro,9
33239,Effexor XR,10
33254,Effexor,4
33293,Citalopram,9
33357,Venlafaxine,8
33359,Sertraline,7
33376,Vilazodone,8
33395,Wellbutrin SR,10
33398,Vortioxetine,7
33409,Alprazolam,10
33425,Wellbutrin,9
33442,Zoloft,10
33458,Celexa,9
33464,Vilazodone,5
33478,Bupropion,9
33483,Duloxetine,1
33498,Sertraline,9
33518,Deplin,7
33522,Zoloft,9
33536,Tofranil,8
33566,Escitalopram,3
33601,Pristiq,10
33617,Duloxetine,1
33635,Escitalopram,9
33697,Paroxetine,1
33726,Venlafaxine,8
33743,Alprazolam,9
33771,Wellbutrin XL,9
33780,Vilazodone,9
33798,Zoloft,2
33826,Bupropion,2
33834,Olanzapine,9
33846,Duloxetine,10
33851,Vortioxetine,10
33865,Sertraline,10
33887,Trintellix,8
33890,Quetiapine,5
33907,Fluoxetine,6
33929,Aripiprazole,1
33939,Citalopram,10
34012,Aripiprazole,1
34052,Mirtazapine,7
34057,Tramadol,10
34074,Cymbalta,10
34075,Duloxetine,10
34084,Cymbalta,1
34178,Mirtazapine,9
34181,Vortioxetine,3
34183,Wellbutrin SR,10
34197,Remeron,4
34289,Venlafaxine,2
34298,Zoloft,5
34308,Aripiprazole,10
34315,Lexapro,2
34324,Cymbalta,8
34328,Sertraline,9
34396,Lexapro,9
34429,Sertraline,7
34454,Viibryd,3
34455,Citalopram,8
34491,Viibryd,7
34509,Cymbalta,9
34515,Trazodone,10
34541,Sertraline,10
34555,Escitalopram,9
34576,Pristiq,9
34591,Duloxetine,4
34600,Trintellix,8
34603,Vortioxetine,7
34664,Vortioxetine,9
34669,Sertraline,10
34680,Lexapro,10
34687,Citalopram,7
34701,Sertraline,7
34707,Wellbutrin,10
34710,Duloxetine,10
34713,Vilazodone,7
34719,Venlafaxine,10
34739,Prozac,9
34780,Bupropion,9
34787,Effexor XR,9
34813,Fluvoxamine,8
34817,Trintellix,10
34843,Cymbalta,10
34855,Prozac Weekly,9
34901,Trintellix,7
34907,Bupropion,10
34922,Viibryd,9
34923,Olanzapine,1
34928,Quetiapine,9
34959,Bupropion,10
34980,Prozac,9
34992,Lamotrigine,1
35009,Effexor,8
35015,Celexa,10
35048,Escitalopram,7
35065,Pristiq,5
35102,Fluoxetine,9
35130,Duloxetine,1
35196,Paroxetine,9
35197,Escitalopram,7
35210,Trintellix,6
35225,Vortioxetine,3
35253,Desvenlafaxine,1
35274,Zoloft,4
35296,Citalopram,5
35307,Sertraline,7
35324,Pristiq,6
35325,Zoloft,10
35350,Paxil,10
35389,Escitalopram,9
35400,Vilazodone,1
35405,Desvenlafaxine,10
35432,Duloxetine,9
35445,Mirtazapine,8
35451,Bupropion,9
35470,Escitalopram,10
35490,Prozac,10
35519,Trintellix,7
35523,Escitalopram,10
35539,Duloxetine,5
35544,Citalopram,9
35557,Desvenlafaxine,9
35563,Celexa,8
35577,Olanzapine,6
35583,Wellbutrin,1
35594,Sertraline,7
35611,Sertraline,10
35626,Fluoxetine,10
35640,Phenelzine,8
35646,Duloxetine,10
35662,Bupropion,1
35673,Cymbalta,10
35680,Vortioxetine,9
35692,Fluoxetine,1
35700,Pristiq,9
35757,Celexa,10
35762,Prozac,9
35804,Paxil,8
35820,Duloxetine,9
35837,Levomilnacipran,6
35838,Venlafaxine,9
35841,Effexor,5
35855,Cymbalta,9
35868,Risperidone,1
35875,Sertraline,8
35885,Amitriptyline,10
35898,Viibryd,10
35940,Vilazodone,5
35942,Effexor XR,4
35951,Viibryd,10
35959,Lexapro,1
35982,Effexor XR,1
36021,Wellbutrin XL,9
36025,Vilazodone,6
36042,Wellbutrin XL,9
36047,Aripiprazole,10
36049,Bupropion,5
36050,Citalopram,9
36058,Serzone,10
36067,Duloxetine,3
36081,Zoloft,8
36082,Viibryd,6
36100,Wellbutrin,2
36109,Bupropion,1
36128,Duloxetine,3
36159,Venlafaxine,9
36162,Paxil,7
36171,Pristiq,7
36195,Viibryd,10
36223,Effexor,10
36237,Fluoxetine,1
36238,Celexa,9
36246,Cymbalta,1
36250,Mirtazapine,10
36262,Fluoxetine,5
36271,L-methylfolate,10
36296,Viibryd,6
36304,Escitalopram,10
36310,Pristiq,10
36316,Cymbalta,10
36327,Bupropion,7
36361,Viibryd,9
36384,Vortioxetine,1
36425,Wellbutrin XL,8
36466,Fluoxetine,10
36472,Sertraline,9
36475,Bupropion,10
36479,Sertraline,10
36481,Sertraline,9
36487,Pristiq,8
36496,Fluoxetine,8
36518,Fetzima,3
36526,Desvenlafaxine,5
36528,Mirtazapine,2
36547,Wellbutrin,10
36562,Levomilnacipran,1
36587,Vortioxetine,8
36590,Citalopram,10
36591,Viibryd,10
36603,Fluoxetine,9
36642,Viibryd,10
36653,Pristiq,9
36673,Sertraline,8
36701,Pristiq,10
36723,Cymbalta,6
36728,Pristiq,10
36730,Abilify,9
36761,Vortioxetine,7
36776,Alprazolam,5
36791,Venlafaxine,10
36795,Phenelzine,3
36828,Trintellix,10
36833,Wellbutrin,9
36872,Prozac,7
36894,Vilazodone,1
36896,Vilazodone,8
36905,Vortioxetine,1
36912,Desvenlafaxine,8
36931,Bupropion,9
36945,Celexa,6
36956,Venlafaxine,8
36964,Duloxetine,10
36979,Sertraline,10
36981,Venlafaxine,1
36990,Effexor XR,1
37045,Zoloft,9
37062,Celexa,10
37091,Pristiq,10
37116,Sertraline,9
37119,Paxil,3
37120,Pristiq,9
37127,Effexor XR,4
37128,Fluoxetine,5
37132,Viibryd,2
37175,Tramadol,10
37199,Citalopram,10
37206,Viibryd,2
37220,Duloxetine,7
37246,Remeron,4
37259,Parnate,10
37265,Trintellix,9
37275,Fetzima,2
37292,Vortioxetine,7
37301,Abilify,10
37306,Duloxetine,1
37319,Bupropion,8
37329,Seroquel XR,10
37340,Wellbutrin SR,3
37351,Aplenzin,5
37355,Methylphenidate,10
37357,Escitalopram,10
37373,Vilazodone,10
37385,Pristiq,9
37386,Fetzima,4
37387,Venlafaxine,2
37416,Wellbutrin,8
37417,Citalopram,4
37446,Wellbutrin,10
37457,Paroxetine,9
37465,Desvenlafaxine,1
37481,Effexor,2
37516,Paxil,7
37547,Lexapro,9
37612,Quetiapine,4
37636,Tramadol,10
37639,Effexor,10
37651,Citalopram,8
37653,Viibryd,10
37656,Vortioxetine,10
37665,Paroxetine,1
37680,Fluoxetine,1
37693,Desvenlafaxine,9
37697,Zoloft,10
37704,Fluoxetine,4
37739,Bupropion,8
37744,Trintellix,8
37746,Citalopram,8
37760,Aripiprazole,10
37795,Paroxetine,8
37867,Vortioxetine,5
37909,Aripiprazole,1
37987,Sertraline,8
38019,Sertraline,10
38025,Mirtazapine,1
38059,Effexor,2
38064,Fluoxetine,8
38072,Venlafaxine,1
38084,Venlafaxine,8
38088,Citalopram,10
38106,Olanzapine,9
38108,Fluoxetine,8
38110,Sertraline,10
38115,Vortioxetine,10
38119,Vortioxetine,8
38131,Effexor,1
38136,Citalopram,10
38181,Lexapro,9
38189,Aripiprazole,9
38245,Pristiq,1
38253,Bupropion,8
38257,Bupropion,8
38263,Desvenlafaxine,8
38275,Zoloft,10
38330,Mirtazapine,10
38336,Venlafaxine,9
38380,Pristiq,10
38400,Escitalopram,10
38401,Pristiq,6
38422,Desvenlafaxine,3
38439,Remeron,9
38471,Sertraline,3
38560,Escitalopram,10
38568,Prozac,8
38613,Sertraline,9
38622,Vortioxetine,9
38654,Prozac,9
38657,Viibryd,9
38659,Pristiq,9
38671,Lexapro,10
38674,Desvenlafaxine,8
38709,L-methylfolate,1
38720,Paxil,3
38749,Zoloft,8
38750,Lexapro,10
38784,Mirtazapine,9
38822,Armodafinil,10
38846,Pristiq,9
38848,Escitalopram,8
38850,Effexor,8
38854,Desvenlafaxine,10
38873,Citalopram,1
38895,Pristiq,9
38965,Methylphenidate,1
38976,Pristiq,8
38991,Viibryd,6
39030,Citalopram,7
39049,Vilazodone,6
39063,Aripiprazole,10
39072,Aripiprazole,10
39093,Bupropion,7
39096,Desvenlafaxine,3
39119,Doxepin,9
39121,Vortioxetine,7
39128,Citalopram,3
39136,Zoloft,5
39148,Cymbalta,1
39166,Abilify,8
39188,Risperidone,2
39201,Venlafaxine,10
39249,Celexa,9
39256,Tranylcypromine,10
39267,Trintellix,2
39300,Olanzapine,9
39312,Sertraline,9
39340,Bupropion,3
39342,Escitalopram,9
39347,Desvenlafaxine,7
39385,Bupropion,8
39396,Fluoxetine,10
39403,Citalopram,10
39421,Duloxetine,8
39439,Effexor XR,10
39481,Sertraline,10
39497,Budeprion XL,1
39515,Lexapro,8
39521,Cymbalta,9
39563,Escitalopram,8
39574,Viibryd,3
39579,Trazodone,10
39586,Paroxetine,1
39595,Sertraline,4
39600,Viibryd,5
39611,Sertraline,5
39616,Duloxetine,8
39642,Duloxetine,9
39677,Citalopram,9
39684,Abilify,9
39697,Prozac,2
39721,Prozac,9
39723,Desvenlafaxine,9
39761,L-methylfolate,10
39762,Desvenlafaxine,10
39775,Sertraline,10
39785,Bupropion,7
39791,Venlafaxine,6
39801,Vortioxetine,2
39814,Venlafaxine,10
39834,Xanax,10
39838,Lexapro,10
39846,Trintellix,1
39858,Sertraline,1
39871,Venlafaxine,6
39911,Xanax,10
39914,Bupropion,1
39928,Bupropion,9
39935,Vortioxetine,10
39993,Aripiprazole,10
40004,Duloxetine,3
40006,Cymbalta,9
40019,Venlafaxine,8
40031,Venlafaxine,1
40039,Atomoxetine,8
40045,Vilazodone,5
40066,Citalopram,10
40068,Fluoxetine,10
40088,Sertraline,9
40101,Methylphenidate,10
40107,Prozac,10
40126,Levomilnacipran,3
40149,Cymbalta,2
40160,Venlafaxine,9
40181,Venlafaxine,10
40193,Effexor XR,9
40200,Effexor,1
40238,Bupropion,10
40252,Viibryd,10
40272,Paxil,10
40273,Fluoxetine,10
40285,Bupropion,10
40289,Alprazolam,10
40296,Fluoxetine,10
40353,Vilazodone,8
40365,Wellbutrin XL,7
40415,Sertraline,10
40449,Escitalopram,7
40464,Duloxetine,1
40488,Citalopram,9
40497,Sertraline,7
40526,Bupropion,10
40531,Trintellix,10
40535,Celexa,10
40565,Prozac,9
40586,Aripiprazole,1
40587,Desvenlafaxine,3
40602,Celexa,9
40607,Bupropion,9
40609,Citalopram,8
40610,Lexapro,9
40647,Viibryd,10
40680,Prozac,1
40683,Viibryd,1
40709,Cymbalta,1
40719,Pristiq,1
40749,Alprazolam,10
40769,Wellbutrin SR,10
40783,Remeron,2
40785,Pristiq,10
40808,Mirtazapine,2
40814,Effexor XR,7
40836,L-methylfolate,1
40869,Venlafaxine,10
40909,Mirtazapine,10
40911,Escitalopram,4
40916,Sertraline,10
40938,Venlafaxine,9
40947,Venlafaxine,9
40949,Bupropion,2
40951,Zoloft,9
40965,Lexapro,10
40983,Celexa,1
40996,Fluoxetine,7
41028,Vortioxetine,8
41051,Cymbalta,10
41054,Sertraline,9
41059,Pristiq,10
41060,Celexa,4
41069,Sertraline,10
41090,Escitalopram,2
41093,Aripiprazole,10
41102,Sertraline,9
41118,Wellbutrin,10
41149,Pristiq,10
